Kristallwinkel	Rate bei 35kV mit Bi
theta/°	R(35kV)/Imp/s

8,0	67,0
8,1	69,0
8,2	69,0
8,3	68,0
8,4	70,0
8,5	67,0
8,6	69,0
8,7	69,0
8,8	72,0
8,9	66,0
9,0	68,0
9,1	68,0
9,2	65,0
9,3	64,0
9,4	68,0
9,5	64,0
9,6	67,0
9,7	62,0
9,8	60,0
9,9	61,0
10,0	59,0
10,1	62,0
10,2	62,0
10,3	63,0
10,4	63,0
10,5	63,0
10,6	66,0
10,7	68,0
10,8	71,0
10,9	76,0
11,0	77,0
11,1	81,0
11,2	77,0
11,3	80,0
11,4	81,0
11,5	77,0
11,6	73,0
11,7	74,0
11,8	72,0
11,9	71,0
12,0	76,0
12,1	73,0
12,2	67,0
12,3	68,0
12,4	66,0
12,5	65,0
12,6	66,0
12,7	64,0
12,8	73,0
12,9	78,0
13,0	87,0
13,1	84,0
13,2	89,0
13,3	88,0
13,4	87,0
13,5	85,0
13,6	79,0
13,7	82,0
13,8	83,0
13,9	79,0
14,0	75,0
14,1	72,0
14,2	71,0
14,3	69,0
14,4	70,0
14,5	68,0
14,6	69,0
14,7	65,0
14,8	64,0
14,9	61,0
15,0	63,0
15,1	62,0
15,2	58,0
15,3	59,0
15,4	57,0
15,5	56,0
15,6	56,0
15,7	54,0
15,8	52,0
15,9	52,0
16,0	49,0
