Kristallwinkel	Rate bei 35kV mit Br
theta/°	R(35kV)/Imp/s

11,0	14,0
11,1	16,0
11,2	16,0
11,3	16,0
11,4	18,0
11,5	15,0
11,6	16,0
11,7	15,0
11,8	16,0
11,9	14,0
12,0	16,0
12,1	14,0
12,2	14,0
12,3	14,0
12,4	17,0
12,5	16,0
12,6	16,0
12,7	19,0
12,8	25,0
12,9	29,0
13,0	35,0
13,1	35,0
13,2	35,0
13,3	33,0
13,4	34,0
13,5	30,0
13,6	31,0
13,7	30,0
13,8	25,0
13,9	28,0
14,0	28,0
14,1	24,0
14,2	24,0
14,3	24,0
14,4	23,0
14,5	23,0
14,6	19,0
14,7	19,0
14,8	20,0
14,9	21,0
15,0	20,0
