Kristallwinkel	Rate bei 35kV mit Ge
theta/°	R(35kV)/Imp/s

14,0	22,0
14,1	21,0
14,2	22,0
14,3	24,0
14,4	24,0
14,5	23,0
14,6	22,0
14,7	23,0
14,8	22,0
14,9	22,0
15,0	23,0
15,1	21,0
15,2	21,0
15,3	20,0
15,4	23,0
15,5	21,0
15,6	27,0
15,7	31,0
15,8	38,0
15,9	43,0
16,0	43,0
16,1	43,0
16,2	42,0
16,3	39,0
16,4	39,0
16,5	39,0
16,6	37,0
16,7	38,0
16,8	37,0
16,9	36,0
17,0	32,0
17,1	35,0
17,2	30,0
17,3	33,0
17,4	27,0
17,5	31,0
17,6	29,0
17,7	27,0
17,8	28,0
17,9	25,0
18,0	25,0
