Kristallwinkel	Rate bei 35kV mit Zn
theta/°	R(35kV)/Imp/s

17,0	48,0
17,1	47,0
17,2	47,0
17,3	46,0
17,4	45,0
17,5	47,0
17,6	45,0
17,7	44,0
17,8	42,0
17,9	45,0
18,0	47,0
18,1	56,0
18,2	62,0
18,3	66,0
18,4	77,0
18,5	79,0
18,6	74,0
18,7	77,0
18,8	77,0
18,9	77,0
19,0	71,0
19,1	71,0
19,2	74,0
19,3	70,0
19,4	88,0
19,5	121,0
19,6	439,0
19,7	758,0
19,8	800,0
19,9	811,0
20,0	507,0
20,1	144,0
20,2	112,0
20,3	100,0
20,4	89,0
20,5	83,0
20,6	85,0
20,7	78,0
20,8	81,0
20,9	76,0
21,0	72,0
