Kristallwinkel	Rate bei 35kV mit Zr
theta/°	R(35kV)/Imp/s

8,0	61,0
8,1	65,0
8,2	63,0
8,3	62,0
8,4	65,0
8,5	68,0
8,6	67,0
8,7	67,0
8,8	66,0
8,9	66,0
9,0	63,0
9,1	64,0
9,2	66,0
9,3	70,0
9,4	75,0
9,5	99,0
9,6	113,0
9,7	132,0
9,8	128,0
9,9	127,0
10,0	134,0
10,1	137,0
10,2	136,0
10,3	137,0
10,4	141,0
10,5	136,0
10,6	137,0
10,7	136,0
10,8	140,0
10,9	146,0
11,0	144,0
11,1	137,0
11,2	137,0
11,3	141,0
11,4	132,0
11,5	137,0
11,6	135,0
11,7	134,0
11,8	138,0
11,9	130,0
12,0	133,0
