Kristallwinkel	Rate bei 35kV
theta/°	R(35kV)/Imp/s

4,0	31,0
4,2	28,0
4,4	25,0
4,6	28,0
4,8	34,0
5,0	37,0
5,2	50,0
5,4	55,0
5,6	57,0
5,8	62,0
6,0	72,0
6,2	83,0
6,4	82,0
6,6	90,0
6,8	100,0
7,0	110,0
7,2	112,0
7,4	119,0
7,6	142,0
7,8	149,0
8,0	150,0
8,2	159,0
8,4	168,0
8,6	175,0
8,8	169,0
9,0	173,0
9,2	181,0
9,4	182,0
9,6	196,0
9,8	190,0
10,0	198,0
10,2	204,0
10,4	228,0
10,6	220,0
10,8	227,0
11,0	227,0
11,2	228,0
11,4	223,0
11,6	222,0
11,8	228,0
12,0	234,0
12,2	232,0
12,4	224,0
12,6	233,0
12,8	212,0
13,0	182,0
13,2	180,0
13,4	187,0
13,6	177,0
13,8	180,0
14,0	167,0
14,2	167,0
14,4	166,0
14,6	155,0
14,8	157,0
15,0	153,0
15,2	161,0
15,4	157,0
15,6	144,0
15,8	142,0
16,0	144,0
16,2	143,0
16,4	145,0
16,6	129,0
16,8	126,0
17,0	135,0
17,2	123,0
17,4	127,0
17,6	123,0
17,8	115,0
18,0	114,0
18,2	118,0
18,4	112,0
18,6	112,0
18,8	113,0
19,0	117,0
19,2	107,0
19,4	129,0
19,6	619,0
19,8	1228,0
20,0	775,0
20,2	187,0
20,4	155,0
20,6	138,0
20,8	125,0
21,0	133,0
21,2	123,0
21,4	132,0
21,6	177,0
21,8	407,0
22,0	4273,0
22,2	4037,0
22,4	300,0
22,6	143,0
22,8	112,0
23,0	95,0
23,2	92,0
23,4	84,0
23,6	84,0
23,8	78,0
24,0	71,0
24,2	72,0
24,4	61,0
24,6	59,0
24,8	62,0
25,0	60,0
25,2	62,0
25,4	58,0
25,6	54,0
25,8	59,0
26,0	55,0
